text,emotions,emotion_encoded,cleaned_text
i didnt feel humiliated,sadness,4,didnt feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,4,go feeling hopeless damned hopeful around someone cares awake
im grabbing a minute to post i feel greedy wrong,anger,0,im grabbing minute post feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,3,ever feeling nostalgic fireplace know still property
i am feeling grouchy,anger,0,feeling grouchy
ive been feeling a little burdened lately wasnt sure why that was,sadness,4,ive feeling little burdened lately wasnt sure
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,5,ive taking milligrams times recommended amount ive fallen asleep lot faster also feel like funny
i feel as confused about life as a teenager or as jaded as a year old man,fear,1,feel confused life teenager jaded year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,2,petronas years feel petronas performed well made huge profit
i feel romantic too,love,3,feel romantic
i feel like i have to make the suffering i m seeing mean something,sadness,4,feel like make suffering seeing mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,2,feel running divine experience expect type spiritual encounter
i think it s the easiest time of year to feel dissatisfied,anger,0,think easiest time year feel dissatisfied
i feel low energy i m just thirsty,sadness,4,feel low energy thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,2,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious
i do not feel reassured anxiety is on each side,joy,2,feel reassured anxiety side
i didnt really feel that embarrassed,sadness,4,didnt really feel embarrassed
i feel pretty pathetic most of the time,sadness,4,feel pretty pathetic time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,4,started feeling sentimental dolls child began collection vintage barbie dolls sixties
i now feel compromised and skeptical of the value of every unit of work i put in,fear,1,feel compromised skeptical value every unit work put
i feel irritated and rejected without anyone doing anything or saying anything,anger,0,feel irritated rejected without anyone anything saying anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,1,feeling completely overwhelmed two strategies help feel grounded pour heart journal form letter god end list five things grateful
i have the feeling she was amused and delighted,joy,2,feeling amused delighted
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,2,able help chai lifeline support encouragement great feeling glad able help
i already feel like i fucked up though because i dont usually eat at all in the morning,anger,0,already feel like fucked though dont usually eat morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,4,still love wish best longer tolerate effect bm lives fact turned bitter angry person always particularly kind people around feeling stressed
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,4,feel inhibited someone elses kitchen like im painting someone elses picture
i become overwhelmed and feel defeated,sadness,4,become overwhelmed feel defeated
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger,0,feel kinda appalled feels like needs explain wide lenghth body measures etc pp
i feel more superior dead chicken or grieving child,joy,2,feel superior dead chicken grieving child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,joy,2,get giddy feeling elegant perfectly fitted pencil skirt
i remember feeling acutely distressed for a few days,fear,1,remember feeling acutely distressed days
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,surprise,5,seen heard read past couple days left feeling impressed companies
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger,0,climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy,2,imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently
i am not sure what would make me feel content if anything,joy,2,sure would make feel content anything
i have been feeling the need to be creative,joy,2,feeling need creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,joy,2,however want know something someone causing feel less splendid self step away
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger,0,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,joy,2,need need someone need protected feel safe small find season words
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,joy,2,plan share everyday life stories traveling adventures inspirations handmade creations hope also feel inspired
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,joy,2,already christmas trees got two feeling festive sure spurring get started book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,joy,2,ive worn little concealer days im feeling brave dont want pale perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,joy,2,feel strongly passionate jerk decides poke make fun us
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,sadness,4,feeling discouraged already robbing peter pay paul get cow year cant afford get cow way
i was feeling listless from the need of new things something different,sadness,4,feeling listless need new things something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,joy,2,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,love,3,let go sad feeling want accepted first home mine
on a boat trip to denmark,joy,2,boat trip denmark
i stopped feeling cold and began feeling hot,anger,0,stopped feeling cold began feeling hot
i need to feel the dough to make sure its just perfect,joy,2,need feel dough make sure perfect
i found myself feeling a little discouraged that morning,sadness,4,found feeling little discouraged morning
i feel selfish and spoiled,anger,0,feel selfish spoiled
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,1,stymied little bit wrote feeling unsure might go somewhere story unintended
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,joy,2,bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skins scissor sisters valentine sun fed kayle daddy gerling awake unkind u
i feel you know basically like a fake in the realm of science fiction,sadness,4,feel know basically like fake realm science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,sadness,4,hate living dads roof gives excuse asshole hes providing live think feels needs make feel unwelcome possible ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,surprise,5,keep feeling pleasantly surprised supportiveness also ease new situations
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,joy,2,feeling anymore vigorous sexual activity coming yes misspelt cumming days parts begin fall
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,joy,2,feel mom graceful warm loving smile rob time nurture heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,joy,2,feel talk brother law extremely popular one think stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,love,3,ate could feel gentle tingle throughout almost feeling healing taking place cellular level
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,fear,1,feel like pressured young beautiful thin depending trend girls rejuvenated butt implants
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,fear,1,began several times week feeling tortured hallucinations moving people figures sounds vibrations
i am now nearly finished the week detox and i feel amazing,surprise,5,nearly finished week detox feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger,0,feel selfish read back former posts never asked prayers others never considered may others deserve prayers answered
i know the pain parents feel when an enraged child becomes violent,anger,0,know pain parents feel enraged child becomes violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,sadness,4,roller coaster emotions supposed feelings something unpleasant coming
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,love,3,suppose truth needs shared havent feeling faithful lately ive dwelled doubt uncertainty faith
i was feeling brave when i bought it and clearly when i was doing my makeup,joy,2,feeling brave bought clearly makeup
i am feeling miserable but c i am also the proudest mum on earth,sadness,4,feeling miserable c also proudest mum earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,sadness,4,figure family loves us matter around anyone else feel embarrassed michelle goes ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,joy,2,necessarily think f bombs sex necessary stories feel reassured see print journals
i can feel my ovaries aching talking to me as i like to put it,sadness,4,feel ovaries aching talking like put
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,sadness,4,feel like much chris mostly took many pictures unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,sadness,4,im tired book ready finding given unsuitable images feeling blamed result sit well
